Song_name,title_with_featured,Artist,Lyrics
Here’s That Rainy Day,Here's That Rainy Day,Bob Dylan,"Maybe I should have saved those leftover dreams
Funny but here's that rainy day
Here's that rainy day they told me about
And I laughed at the thought
That it might turn out this way
Where is that worn out wish that I threw aside
After it brought my love so near
Funny how love becomes a cold rainy day
Funny that rainy day is here
It's funny how love becomes a cold rainy day
Funny that rainy day is here"
Hero Blues,Hero Blues,Bob Dylan,"Yes, the gal I got
I swear she’s the screaming end
She wants me to be a hero
So she can tell all her friends

Well, she begged, she cried
She pleaded with me all last night
Well, she begged, she cried
She pleaded with me all last night
She wants me to go out
And find somebody to fight

She reads too many books
She got new movies inside her head
She reads too many books
She got movies inside her head
She wants me to walk out running
She wants me to crawl back dead

You need a different kinda man, babe
One that can grab and hold your heart
Need a different kind of man, babe
One that can hold and grab your heart
You need a different kind of man, babe
You need Napoleon Boneeparte
Well, when I’m dead
No more good times will I crave
When I’m dead
No more good times will I crave
You can stand and shout hero
All over my lonesome grave"
He’s Funny That Way,He's Funny That Way,Bob Dylan,"Once he dressed in silks and lace
And owned a Rolls Royce car
Now he seems quite out of place
Like a fallen star
Race around my kitchen sink
Happy as can be
I'll just have to stop and think
Why he fell for me

I'm not much to look at
Nothing to see
Just glad I'm living
And lucky to be
I've got a man crazy for me
He's funny that way
I can't save a dollar
Ain't worth a cent
He'd never hollar
He'd live in a tent
I've got a man crazy for me
He's funny that way
Though he'd love to work
And slave for me everyday
He'd be so much better off
If I went away

But why should I leave him?
Why should I go?
He'd be unhappy without me, I know
I've got a man crazy for me
He's funny that way

I can see no other way
And no better plan
Than to end it all and let him go
To some other man
When I hurt his feelings once in a while
His only answer is one little smile
I got a man crazy for me
He's funny that way"
Hiding Too Long,Hiding Too Long,Bob Dylan,"Come you phoney super patriotic people that say
That hatin' and fearing is my only way
That this here country has got to be
You're thinkin' of yourselves, you ain't thinkin' of me
You're not thinkin' of any George Washington
You're not thinkin' of any Thomas Jefferson
But you say that you are and you lie and mislead
You use their names for aims, for your selfish greed
Don't speak to me of your patriotism
When you throw the Southern black boy in prison
An' you say that the only good niggers are the ones that have died
Don't think I'll ever stand on your side
Though you make it so hard for me to love
My face will never feel the slap of your glove
My cards will never buy..
My hands will never buy the cards that you play
My feet will never walk down the road that you lay
Get out in the open, stop standin' afar
Let the whole world see what a hypocrit you are
I ain't jokin' and it ain't no gag
You bin hidin' too long behind the American flag"
High Water (For Charley Patton),High Water (For Charley Patton),Bob Dylan,"High water risin'
Risin' night and day
All the gold and silver
Are being stolen away
Big Joe Turner lookin' East and West
From the dark room of his mind
He made it to Kansas City
Twelfth Street and Vine
Nothing standing there
High water everywhere
High water risin'
The shacks are slidin' down
Folks lose their possessions
Folks are leaving town
Bertha Mason shook it, broke it
Then she hung it on a wall
Says, ""You're dancin' with whom they tell you to
Or you don't dance at all.""
It's tough out there
High water everywhere
I got a cravin' love for blazing speed
Got a hopped up Mustang Ford
Jump into the wagon, love
Throw your panties overboard
I can write you poems
Make a strong man lose his mind
I'm no pig without a wig
I hope you treat me kind
Things are breakin' up out there
High water everywhere
High water risin'
Six inches 'bove my head
Coffins droppin' in the street
Like balloons made out of lead
Water pourin' into Vicksburg
Don't know what I'm going to do
""Don't reach out for me,"" she said
""Can't you see I'm drownin' too?""
It's rough out there
High water everywhere
Well, George Lewis told the Englishman
The Italian and the Jew
""You can't open your mind, boys
To every conceivable point of view.""
They got Charles Darwin trapped out there on Highway Five
Judge says to the High Sheriff
""I want him dead or alive
Either one, I don't care.""
High Water everywhere
The Cuckoo is a pretty bird
She warbles as she flies
I'm preachin' the Word of God
I'm puttin' out your eyes
I asked Fat Nancy for something to eat
She said, ""Take it off the shelf
As great as you are, man
You'll never be greater than yourself.""
I told her I didn't really care
High water everywhere
I'm getting' up in the morning
I believe I'll dust my broom
Keeping away from the women
I'm givin' 'em lots of room
Thunder rolling over Clarksdale
Everything is looking blue
I just can't be happy, love
Unless you're happy too
It's bad out there
High water everywhere"
Highlands,Highlands,Bob Dylan,"Well my heart’s in the Highlands gentle and fair
Honeysuckle blooming in the Wildwood air
Bluebells blazing where the Aberdeen waters flow
Well my heart’s in the Highland
I’m gonna go there when I feel good enough to go

Windows were shaking’ all night in my dreams
Everything was exactly the way that it seems
Woke up this morning and I looked at the same old page
Same ol’ rat race
Life in the same ol’ cage

I don’t want nothing from anyone, ain’t that much to take
Wouldn’t know the difference between a real blonde and a fake
Feel like a prisoner in a world of mystery
I wish someone would come
And push back the clock for me

Well my heart’s in the Highlands wherever I roam
That’s where I’ll be when I get called home
The wind, it whispers to the buckeyed trees in rhyme
Well my heart’s in the Highland
I can only get there one step at a time
I’m listening to Neil Young, I gotta turn up the sound
Someone’s always yelling turn it down
Feel like I’m drifting
Drifting from scene to scene
I’m wondering what in the devil could it all possibly mean?

Insanity is smashing up against my soul
You can say I was on anything but a roll
If I had a conscience, well, I just might blow my top
What would I do with it anyway
Maybe take it to the pawn shop

My heart’s in the Highlands at the break of dawn
By the beautiful lake of the Black Swan
Big white clouds like chariots that swing down low
Well my heart’s in the Highlands
Only place left to go

I’m in Boston town, in some restaurant
I got no idea what I want
Well, maybe I do but I’m just really not sure
Waitress comes over
Nobody in the place but me and her
It must be a holiday, there’s nobody around
She studies me closely as I sit down
She got a pretty face and long white shiny legs
She says, “What’ll it be?”
I say, “I don’t know, you got any soft boiled eggs?”

She looks at me, says, “I’d bring you some
But we’re out of ’m, you picked the wrong time to come”
Then she says, “I know you’re an artist, draw a picture of me!”
I say, “I would if I could, but
I don’t do sketches from memory”

“Well,” she says, “I’m right here in front of you, or haven’t you looked?”
I say, “All right, I know, but I don’t have my drawing book!”
She gives me a napkin, she says, “You can do it on that”
I say, “Yes I could, but
I don’t know where my pencil is at!”

She pulls one out from behind her ear
She says, “All right now, go ahead, draw me, I’m standing right here”
I make a few lines and I show it for her to see
Well she takes the napkin and throws it back
And says, “That don’t look a thing like me!”
I said, “Oh, kind Miss, it most certainly does”
She says, “You must be joking’.” I say, “I wish I was!”
Then she says, “You don’t read women authors, do you?”
Least that’s what I think I hear her say
“Well,” I say, “how would you know and what would it matter anyway?”

“Well,” she says, “you just don’t seem like you do!”
I said, “You’re way wrong”
She says, “Which ones have you read then?” I say, “I read Erica Jong!”
She goes away for a minute
And I slide up out of my chair
I step outside back to the busy street but nobody’s going anywhere

Well my heart’s in the Highlands with the horses and hounds
Way up in the border country, far from the towns
With the twang of the arrow and a snap of the bow
My heart’s in the Highlands
Can’t see any other way to go

Every day is the same thing out the door
Feel further away than ever before
Some things in life, it gets too late to learn
Well, I’m lost somewhere
I must have made a few bad turns

I see people in the park forgetting their troubles and woes
They’re drinking and dancing, wearing bright-colored clothes
All the young men with their young women looking so good
Well, I’d trade places with any of them
In a minute, if I could

I’m crossing the street to get away from a mangy dog
Talking to myself in a monologue
I think what I need might be a full-length leather coat
Somebody just asked me
If I registered to vote

The sun is beginning to shine on me
But it’s not like the sun that used to be
The party’s over and there’s less and less to say
I got new eyes
Everything looks far away

Well, my heart’s in the Highlands at the break of day
Over the hills and far away
There’s a way to get there and I’ll figure it out somehow
But I’m already there in my mind
And that’s good enough for now"
Highway 51,Highway 51,Bob Dylan,"Highway 51 runs right by my baby's door
Highway 51 runs right by my baby's door
If I don't get the girl I'm loving
Won't go down to Highway 51 no more

Well, I know that highway like I know my hand
Yes, I know that highway like I know the back of my hand
Running from up Wisconsin way down to no man's land
Well, if I should die before my time should come
And if I should die before my time should come
Won't you bury my body out on the Highway 51"
Highway 61 Revisited,Highway 61 Revisited,Bob Dylan,"Oh God said to Abraham, “Kill me a son”
Abe said, “Man, you must be puttin' me on”
God say, “No.”
Abe say, “What?”
God say, “You can do what you want, Abe, but
The next time you see me comin' you better run”
Well Abe says, “Where you want this killin' done?”
God says, “Out on Highway 61”
Well Georgia Sam he had a bloody nose
Welfare Department they wouldn’t give him no clothes
He asked poor Howard where can I go
Howard said there’s only one place I know
Sam said tell me quick man I got to run
Old Howard just pointed with his gun
And said ""That way, down Highway 61""
Well Mack the Finger said to Louie the King
I got forty red, white and blue shoestrings
And a thousand telephones that don’t ring
Do you know where I can get rid of these things?
And Louie the King said ""Let me think for a minute son""
And he said ""Yes, I think it can be easily done
Just take everything down to Highway 61""
Now the fifth daughter on the twelfth night
Told the first father that things weren’t right
""My complexion"" she says ""is much too white""
He said ""Come here and step into the light""
He says ""Hmm you’re right
Let me tell the second mother this has been done""
But the second mother was with the seventh son
And they were both out on Highway 61
Now the rovin' gambler he was very bored
Tryin' to create a next world war
He found a promoter who nearly fell off the floor
He said ""I never engaged in this kind of thing before
But yes I think it can be very easily done
We’ll just put some bleachers out in the sun
And have it on Highway 61"""
Hiram Hubbard,Hiram Hubbard,Bob Dylan,"Hiram Hubbard wasn't guilty
I've heard a great many say
Hiram Hubbard wasn't guilty
I've heard a great many say
He was not in this county
He was forty miles away
But they took him 'cross the mountain
And they whomped him on the hill
Yes, they took him on the mountain
And they whomped him on the hill
It was there that he pleaded
Oh, please, let me make my will
But Hiram Hubbard wasn't guilty
I've heard a great many say
Hiram Hubbard wasn't guilty
I've heard a great many say
He was not in this county
He was forty miles away
But they took him down to Danville
And they throwed him in jail
Yes, they took him down to Danville
And they throwed him in jail
And it was then nobody sought him
Nobody could go his bail
But Hiram Hubbard wasn't guilty
I've heard a great many say
Hiram Hubbard wasn't guilty
I've heard a great many say
He was not in this county
He was forty miles away
But they took him out at midnight
And they strapped him to a tree
Yes, they took him out at midnight
And they strapped him to a tree
It was there that they killed him
With rifle bullets three
But Hiram Hubbard was not guilty
Lord, I heard a great many say
Hiram Hubbard wasn't guilty
I heard a great many say
He was not in this county
He was forty miles away"
Honest with Me,Honest with Me,Bob Dylan,"Well, I’m stranded in the city that never sleeps
Some of these women they just give me the creeps
I’m avoidin’ the Southside the best I can
These memories I got, they can strangle a man
Well I came ashore in the dead of the night
Lot of things can get in the way when you’re tryin’ to do what’s right
You don’t understand it—my feelings for you
You’d be honest with me if only you knew
I’m not sorry for nothin’ I’ve done
I’m glad I fought—I only wish we’d won
The Siamese twins are comin’ to town
People can’t wait—they’re gathered around
When I left my home the sky split open wide
I never wanted to go back there—I’d rather have died
You don’t understand it—my feelings for you
You’d be honest with me if only you knew
My woman got a face like a teddy bear
She’s tossin’ a baseball bat in the air
The meat is so tough you can’t cut it with a sword
I’m crashin’ my car, trunk first into the boards
You say my eyes are pretty and my smile is nice
Well, I’ll sell it to ya at a reduced price
You don’t understand it—my feelings for you
You’d be honest with me, if only you knew
Some things are too terrible to be true
I won’t come here no more if it bothers you
The Southern Pacific leaving me at nine forty-five
I’m having a hard time believin’ some people were ever alive
I’m stark naked, but I don’t care
I’m going off into the woods, I’m huntin’ bare
You don’t understand it—my feelings for you
Well, you’d be honest with me if only you knew
I’m here to create the new imperial empire
I’m going to do whatever circumstances require
I care so much for you—didn’t think that I could
I can’t tell my heart that you’re no good
Well, my parents they warned me not to waste my years
And I still got their advice oozing out of my ears
You don’t understand it—my feelings for you
Well, you’d be honest with me if only you knew"
Honey Babe,Honey Babe,Bob Dylan,"Honey babe, I'm tired of you
You don't treat me like you used to do
You know you know I love you anyhow
Honey babe it's all over now
Well all the stars ??
Will give me ten dollars, will give me nine
You don't do me like you used to do
Honey babe, it's all over you"
"Honey, Just Allow Me One More Chance","Honey, Just Allow Me One More Chance",Bob Dylan,"Honey, just allow me one more chance
To get along with you
Honey, just allow me one more chance
I'll do anything for you
Well, I’m a-walking down the road
With my head in my hand
I’m looking for a woman
Needs a worried man
Just a-one kind favor I ask you
Allow me just a one more chance

Honey, just allow me one more chance
To ride your airplane
Honey, just allow me one more chance
To ride your passenger train
Well, I’ve been looking all over
For a girl like you
I can’t find no better
So you’ll have to do
There's just-a one kind favor I ask you
Allow me just-a one more chance

Honey, just allow me one more chance
To get along with you
Honey, just allow me one more chance
I'll do anything for you
Well, looking for a woman
That ain't got no man
Is just looking for a needle
That's lost in the sand
Just-a one kind favor I ask you
Allow me just-a one more chance"
House Carpenter,House Carpenter,Bob Dylan,"Well met, well met, my own true love
Well met, well met, cried she
I've just returned from the salt, salt sea
And it's all for the love of thee

I could have married a King's daughter there
She would have married me
But I have forsaken my King's daughter there
It's all for the love of thee

Well, if you could have married a King's daughter there
I'm sure you're the one to blame
For I am married to a house carpenter
And I'm sure he's a fine young man

Forsake, forsake your house carpenter
And come away with me
I'll take you where the green grass grows
On the shores of sunny Italy

So up she picked her babies three
And gave them kisses, one, two, three
Saying ""take good care of your daddy while I'm gone
And keep him good company.""
Well, they were sailing about two weeks
I'm sure it was not three
When the younger of the girls, she came on deck
Saying she wants company

""Well, are you weeping for your house and home?
Or are you weeping for your babies three?""
""Well, I'm not weeping for my house carpenter
I'm weeping for my babies three.""

Oh what are those hills yonder, my love
They look as white as snow
Those are the hill of heaven, my love
You and I'll never know

Oh what are those hills yonder, my love
They look as dark as night
Those are the hills of hellfire my love
Where you and I will unite

Oh twice around went the gallant ship
I'm sure it was not three
When the ship all of a sudden, it sprung a leak
And it drifted to the bottom of the sea"
House of the Rising Sun,House of the Rising Sun,Bob Dylan,"There is a house down in New Orleans
They call the Rising Sun.
And it's been the ruin of many a-poor girl
And me—oh, God—I'm one

My mother was a tailor
She sewed these new blue jeans
My sweetheart was a gambler, Lord
Down in New Orleans

Now the only thing a gambler needs
Is a suitcase and a trunk
And the only time he's satisfied
Is when he's on a drunk

He fills his glasses up to the brim
And he'll pass the cards around
And the only pleasure he gets out of life
Is ramblin' from town to town

Oh, tell my baby sister
Not to do what I have done!
But shun that house in New Orleans
They call the Rising Sun
Well it's one foot on the platform
The other foot on the train!
I'm goin' back to New Orleans
To wear that ball and chain

I'm a goin' back to New Orleans
My race is almost run!
I'm goin' back to end my life
Down in the Rising Sun

There is a house in New Orleans
They call the Rising Sun
It's been the ruin of many a-poor girl
And me—oh, God—I'm one"
House of the Risin’ Sun,House of the Risin' Sun,Bob Dylan,"There is a house down in New Orleans they call the rising sun
And it's been the ruin of many poor girl and me, oh God, I'm one

My mother was a tailor, she sewed these new blue jeans
My sweetheart was a gambler, Lord, down in New Orleans

Now the only thing a gambler needs is a suitcase and a trunk
And the only time when he's satisfied is when he's on a drunk

He fills his glasses up to the brim and he'll pass the cards around
And the only pleasure he gets out of life is rambling from town to town

Oh tell my baby sister not to do what I have done
But shun that house in New Orleans they call the rising sun

Well with one foot on the platform and the other foot on the train
I'm going back to New Orleans to wear that ball and chain

I'm going back to New Orleans, my race is almost run
I'm going back to end my life down in the rising sun"
How Deep Is the Ocean?,How Deep Is the Ocean?,Bob Dylan,"How much do I love you?
I'll tell you no lie
How deep is the ocean?
How high is the sky?
How many times a day do I think of you?
How many roses are sprinkled with dew?
How far would I travel
To be where you are?
How far is the journey
From here to a star?
And if I ever lost you, how much would I cry?
How deep is the ocean?
How high is the sky?
How far would I travel
To be where you are?
How far is the journey
From here to a star?
And if I ever lost you, how much would I cry?
How deep is the ocean?
How high is the sky?
How high is the sky?"
Huck’s Tune,Huck's Tune,Bob Dylan,"Well I wandered alone through a desert of stone
And I dreamt of my future wife
My sword's in my hand and I'm next in command
In this version of death called life
My plate and my cup are right straight up
I took a rose from the hand of a child
When I kiss your lips, the honey drips
But I'm gonna have to put you down for a while

Every day we meet on any old street
And you're in your girlish prime
The short and the tall are coming to the ball
I go there all the time
Behind every tree, there's something to see
The river is wider than a mile
I tried you twice, you can't be nice
I'm gonna have to put you down for a while

Here come the nurse with money in her purse
Here come the ladies and men
You push it all in and you've no chance to win
You play 'em on down to the end
I'm laying in the sand getting a sunshine tan
Moving along riding in style
From my toes to my head, you knock me dead
I'm gonna have to put you down for a while
I count the years and I shed no tears
I'm blinded to what might have been
Nature's voice makes my heart rejoice
Play me the wild song of the wind
I found hopeless love in the room above
When the sun and the weather were mild
You're as fine as wine, I ain't handing you no line
But I'm gonna have to put you down for a while

All the merry little elves can go hang themselves
My faith is as cold as can be
I'm stacked high to the roof and I'm not without proof
If you don't believe me, come see
You think I'm blue, I think so too
In my words, you'll find no guile
The game's gotten old, the deck's gone cold
And I'm gonna have to put you down for a while

The game's gotten old, the deck's gone cold
I'm gonna have to put you down for a while"
Hurricane,Hurricane,Bob Dylan,"Pistol shots ring out in the barroom night
Enter Patty Valentine from the upper hall
She sees the bartender in a pool of blood
Cries out, “My God, they killed them all!”

Here comes the story of the Hurricane
The man the authorities came to blame
For something that he never done
Put in a prison cell, but one time he could-a been
The champion of the world

Three bodies lyin' there
Does Patty see
And another man named Bello
Moving around mysteriously
“I didn’t do it,” he says
And he throws up his hands
“I was only robbin' the register
I hope you understand

I saw them leaving,” he says, and he stops
“One of us had better call up the cops”
And so Patty calls the cops
And they arrive on the scene
With their red lights flashin'
In the hot New Jersey night
Meanwhile, far away in another part of town
Rubin Carter and a couple of friends are drivin' around
Number one contender for the middleweight crown
Had no idea what kinda shit was about to go down

When a cop pulled him over to the side of the road
Just like the time before and the time before that
In Paterson that’s just the way things go
If you’re black
You might as well not show up on the street
Unless you want to draw the heat

Alfred Bello had a partner and he had a rap for the cops
Him and Arthur Dexter Bradley were just out prowling around
He said, “I saw two men running out
They looked like middleweights
They jumped into a white car with out-of-state plates”

And Miss Patty Valentine just nodded her head
Cop said, “Wait a minute, boys, this one’s not dead”
So they took him to the infirmary
And though this man could hardly see
They told him that he could identify the guilty men
Four in the morning and they haul Rubin in
They take him to the hospital and they brought him upstairs
The wounded man looks up through his one dying eye
Says, “Why did you bring him in here for?
He ain't the guy!”

Here’s the story of the Hurricane
The man the authorities came to blame
For something that he never done
Put in a prison cell, but one time he could-a been
The champion of the world

Four months later, the ghettos are in flame
Rubin’s in South America, fighting for his name
While Arthur Dexter Bradley’s still in the robbery game
And the cops are putting the screws to him
Lookin' for somebody to blame

“Remember that murder that happened in a bar?”
“Remember you said you saw the getaway car?”
“You think you’d like to play ball with the law?”
“Think it might-a been that fighter that you saw
Running that night?”
“Don’t forget that you are white”
Arthur Dexter Bradley said, “I’m really not sure”
The cops said, “A poor boy like you could use a break
We got you for the motel job
And we’re talking to your friend Bello
Now you don’t want to have to go back to jail
Be a nice fellow

You’ll be doing society a favor
That sonofabitch is brave and gettin' braver
We want to put his ass in stir
We want to pin this triple murder
On him
He ain’t no Gentleman Jim”

Rubin could take a man out with just one punch
But he never did like to talk about it all that much
""It’s my work"", he’d say, ""and I do it for pay
And when it’s over I’d just as soon go on my way""

Up to some paradise
Where the trout streams flow and the air is nice
And ride a horse along a trail
But then they took him to the jailhouse
Where they try to turn a man
Into a mouse

All of Rubin’s cards were marked in advance
The trial was a pig-circus
He never had a chance
The judge made Rubin’s witnesses
Drunkards from the slums
To the white folks who watched
He was a revolutionary bum

And to the black folks he was just a crazy nigger
No one doubted that he pulled the trigger
And though they could not produce the gun
The D.A. said he was the one
Who did the deed
And the all-white jury agreed

Rubin Carter was falsely tried
The crime was murder “one,”
Guess who testified?
Bello and Bradley and they both baldly lied
And the newspapers, they all went along for the ride

How can the life of such a man
Be in the palm of some fool’s hand?
To see him obviously framed
Couldn’t help but make me feel ashamed
To live in a land
Where justice is a game

Now all the criminals in their coats and their ties
Are free to drink Martinis
And watch the sun rise
While Rubin sits like Buddha
In a ten-foot cell
An innocent man in a living hell

Yes that’s the story of the Hurricane
But it won’t be over till they clear his name
And give him back the time he’s done
Put in a prison cell, but one time he could-a been
The champion of the world"
I Ain’t Got No Home,I Ain't Got No Home,Bob Dylan,"Well, I ain't got no home I'm just ramblin' round
Just a ramblin' worker, go from town to town
Police make it hard wherever I may go
I ain't got no home in this world anymore
All my brothers and my sisters have stranded on this road
That's a hard ol' dusty road that a million feet have trod
Rich men took our home and they drove us from our door
Man can't feel at home in this world anymore
Well, as I look around me it's funny and plain to see
This wicked cruel world is a funny ol' place to be
The gamblin' man is rich lord, the workin' man is poor
Can't fit his home in this world anymore"
I Am a Lonesome Hobo,I Am a Lonesome Hobo,Bob Dylan,"I am a lonesome hobo
Without family or friends
Where another man’s life might begin
That’s exactly where mine ends
I have tried my hand at bribery
Blackmail and deceit
And I’ve served time for everything
’Cept beggin' on the street

Well, once I was rather prosperous
There was nothing I did lack
I had fourteen-karat gold in my mouth
And silk upon my back
But I did not trust my brother
I carried him to blame
Which led me to my fatal doom
To wander off in shame

Kind ladies and kind gentlemen
Soon I will be gone
But let me just warn you all
Before I do pass on
Stay free from petty jealousies
Live by no man’s code
And hold your judgment for yourself
Lest you wind up on this road"
I Believe in You,I Believe in You,Bob Dylan,"They ask me how I feel
And if my love is real
And how I know I'll make it through
And they, they look at me and frown
They'd like to drive me from this town
They don't want me around
Because I believe in you

They, they show me to the door
They say, ""Don't come back no more""
'Cause I don't be like they'd like me to
And I, I walk out on my own
A thousand miles from home
But I don't feel alone
Because I believe in you

I believe in you even through the tears and the laughter
L believe in you even though we be apart
I believe in you even on the morning after
Oh, when the dawn is nearing
Oh, when the night is disappearing
Oh, this feeling is still here in my heart
Don't let me drift too far
Keep me where you are
Where I will always be renewed
And that which you've given me today
Is worth more than I could pay
And no matter what they say
I believe in you

L believe in you when winter turns to summer
I believe in you when white turn to black
I believe in you even though I be outnumbered
Oh, though the earth may shake me
Oh, though my friends forsake me
Oh, even that couldn't make me go back

Don't let me change my heart
Keep me set apart
From all the plans they do pursue
And I, I don't mind the pain
Don't mind the driving rain
I know I will sustain
Because I believe in you"
I Can’t Come In with a Broken Heart,I Can't Come In with a Broken Heart,Bob Dylan,"Well i go get broke down, before i bust down
Gotta get in without a broken heart well
Get a hoe down before a low down
Before my guilt is acid hot
Well every single morning
I can't take it no more
Well if you with a heartache
Go down baby
She don't care about that us apart
Well she gonna have 'em, but she won't invite me
But i can't come in with a broken heart
I hold down, can't come down
Is comin' in without a broken heart
Well you cheated, showed her down
But i don't come around
O when she'll take ya tear us apart"
I Can’t Get You Off Of My Mind,I Can't Get You Off Of My Mind,Bob Dylan,"Oh, I can't get you off of my mind
When I try, I'm just wastin' my time
Lord, I've tried and I've tried, all night long I've cried
But I can't get you off of my mind
And you think you would leave me behind
But I guess you're the two-timin' kind
Do you think that it's smart to jump from heart to heart
When I can't get you off of my mind?
Oh, I can't get you off of my mind
When I try, I'm just wastin' my time
Lord, I've tried and I've tried, all night long I've cried
But I can't get you off of my mind
You believe that a true love is blind
So you fool every new love you find
You've got stars in your eyes but they can't hide the lies
Oh, I can't get you off of my mind
But I can't get you off of my mind
When I try, I'm just wastin' my time
Lord, I've tried and I've tried, all night long I've cried
But I can't get you off of my mind"
I Contain Multitudes,I Contain Multitudes,Bob Dylan,"Today, and tomorrow, and yesterday, too
The flowers are dyin' like all things do
Follow me close,?I’m?going to Bally-na-Lee
I'll?lose my mind if you don't?come with me
I fuss with my hair, and I fight blood feuds
I contain multitudes
Got a tell-tale heart like Mr. Poe
Got skeletons in the walls of people you know
I’ll drink to the truth and the things we said
I'll drink to the man that shares your bed
I paint landscapes, and I paint nudes
I contain multitudes
A red Cadillac and a black mustache
Rings on my fingers that sparkle and flash
Tell me, what's next? What shall we do?
Half my soul, baby, belongs to you
I rollick and I frolic with all the young dudes
I contain multitudes
I'm just like Anne Frank, like Indiana Jones
And them British bad boys, the Rolling Stones
I go right to the edge, I go right to the end
I go right where all things lost are made good again
I sing the songs of experience like William Blake
I have no apologies to make
Everything's flowing all at the same time
I live on a boulevard of crime
I drive fast cars, and I eat fast foods
I contain multitudes
Pink pedal-pushers, red blue jeans
All the pretty maids, and all the old queens
All the old queens from all my past lives
I carry four pistols and two large knives
I'm a man of contradictions, I'm a man of many moods
I contain multitudes
You greedy old wolf, I'll show you my heart
But not all of it, only the hateful parts
I’ll sell you down the river, I’ll put a price on your head
What more can I tell you? I sleep with life and death in the same bed
Get lost, madame, get up off my knee
Keep your mouth away from me
I'll keep the path open, the path in my mind
I’ll see to it that there's no love left behind
I'll play Beethoven's sonatas, Chopin’s preludes
I contain multitudes"
I Could Have Told You,I Could Have Told You,Bob Dylan,"I could have told you
She'd hurt you
She'd you love you a while
Then desert you
If only you asked
I could have told you so

I could have saved you
Some crying
Yes, I could have told you she's lying
But you were in love
And didn't want to know

I hear her now
As I toss and turn and try to sleep
I hear her now
Making promises she'll never keep
And soon, it's over and done with
She'll find someone new to have fun with
Through all of my tears
I could have told you so

I hear her now
As I toss and turn and try to sleep
I hear her now
Making promises she'll never keep
And soon, it's over and done with
She'll find someone new to have fun with
Through all of my tears
I could have told you so"
I Couldn’t Sleep a Wink Last Night,I Couldn't Sleep a Wink Last Night,Bob Dylan,"I couldn't sleep a wink last night
Because we had that silly fight
I thought my heart would break the whole night through
I knew that you'd be sorry
And I'm sorry too
I didn't have my favorite dream
The one in which I hold you tight
I had to call you up this morning
To see if everything was still all right
Yes, I had to call you up this morning
'Cause I couldn't sleep a wink last night
I didn't have my favorite dream
The one in which I hold you tight
I had to call you up this morning
To see if everything was still all right
Yes, I had to call you up this morning
Cause I couldn't sleep a wink last night"
I Don’t Believe You (She Acts Like We Never Have Met),I Don't Believe You (She Acts Like We Never Have Met),Bob Dylan,"I can't understand
She let go of my hand
And left me here facing the wall
I’d sure like to know
Why she'd go
But I can't get close to her at all
Though we kissed through the wild blazing nighttime
She said she would never forget
But now morning’s clear
It’s like I ain't here
She acts like we never met

It’s all new to me
Like some mystery
It could even be like a myth
But it’s hard to think on
That she’s the same one
That last night I was with
From darkness, dreams are deserted
Am I still dreaming yet?
I wish she’d unlock
Her voice once and talk
'Stead of actin' like we never have met
If she ain't feelin' well
Then why don’t she tell
'Stead of turnin' her back to my face?
Without any doubt
She seems too far out
For me to return to or chase
Well her skirt it swayed
As the guitar played
Her mouth was watery and wet
But now something has changed
For she ain't the same
She just acts like we never have met

If I didn’t have to guess
I’d gladly confess
To anything I might’ve tried
If I was with her too long
Or have done something wrong
I'd wish she’d tell me what it is, I’ll run and hide
Though the night ran swirling and whirling
I remember her whispering yet
But evidently she don’t
Evidently she won’t
She just acts like we never have met
I’m leavin' today
I’ll be on my way
Of this I can't say very much
But if you want me to
I can be just like you
And pretend that we never have touched
And if anybody asks me
“Is it easy to forget?”
I’ll say, “It’s easily done
You just pick anyone
And pretend that you never have met!”"
I Don’t Hurt Anymore,I Don't Hurt Anymore,Bob Dylan,"I don't hurt anymore;
All my teardrops are dry
No more walking the floor
With that burning inside
Just to think it could be;
Time has opened the door
And at last I am free
I don't hurt anymore
Oh, you still deny
I wanted to die
The day taht you said we were through
But now that I find
You're out of my mind
I can't believe that it's true
I forgot it somehow
That I cancelled before
And it's wonderful now
I don't hurt anymore
No use to deny
I wanted to die
The day that you said we were through
But now that I find
You're out of my mind
I can't believe that it's true
I forgot it somehow
That I cancelled before
And it's wonderful now
I don't hurt anymore"
I Dreamed I Saw St. Augustine,I Dreamed I Saw St. Augustine,Bob Dylan,"I dreamed I saw St. Augustine
Alive as you or me
Tearing through these quarters
In the utmost misery
With a blanket underneath his arm
And a coat of solid gold
Searching for the very souls
Whom already have been sold

“Arise, arise,” he cried so loud
With a voice without restraint
“Come out, ye gifted kings and queens
And hear my sad complaint
No martyr is among ye now
Whom you can call your own
But go on your way accordingly
But know you’re not alone”

I dreamed I saw St. Augustine
Alive with fiery breath
And I dreamed I was amongst the ones
That put him out to death
Oh, I awoke in anger
So alone and terrified
I put my fingers against the glass
And bowed my head and cried"
