Song_name,title_with_featured,Artist,Lyrics
Absolutely Sweet Marie,Absolutely Sweet Marie,Bob Dylan,"Well, your railroad gate, you know I just can’t jump it
Sometimes it gets so hard, you see
I just sitting here beating on my trumpet
With all these promises you left for me
But where are you tonight, sweet Marie?

Well, I waited for you when I was half sick
Yes, I waited for you when you hated me
Well, I waited for you inside of the frozen traffic
Yeah, when you knew I had some other place to be
Now, where are you tonight, sweet Marie?

Well, anybody can be just like me, obviously
But then, now again, not too many can be like you, fortunately

Well, six white horses that you did promise
Were finally delivered down to the penitentiary
But to live outside the law, you must be honest
I know you always say that you agree
Alright so where are you tonight, sweet Marie?

Well, I don’t know how it happened
But the riverboat captain, he knows my fate
But everybody else, even yourself
They’re just gonna have to wait
Well, I got the fever down in my pockets
The Persian drunkard, he follows me
Yes, I can take him to your house but I can’t unlock it
You see, you forgot to leave me with the key
Oh, where are you tonight, sweet Marie?

Well, I been in jail when all the mail showed
That a man can’t give his address out to bad company
And now I stand here lookin’ at your yellow railroad
In the ruins of your balcony
Wondering where you are tonight, sweet Marie"
Acne,Acne,Bob Dylan,"Doo wha. doo wha
Doo doo doo wha x7 wahhhh!
S'posed to do wha? mhmm
Doo doo wha x11
Doo wha!?
You said you'd ask me
You said you'd ask me
You said you'd ask me
To the senior prom! (say somethin')
Found out i had acne
Now you won't ask me
'cuz i have acne
To the senior prom
Woooooohh!!
Doo doo doo wha x5
Doo doo doo whaaaaaa?
Mhmm
Doo wha? x3
Get me a shotgun
.22 rifle (doo wha!)
Dooo whhaa!!
I got it for my birthday
I'll kill my parents
Cuz they don't understand
They don't dig a teenager at all
Wooh!
Dooooo wha wha wha wha wha wha wha"
Ain’t Gonna Grieve,Ain't Gonna Grieve,Bob Dylan,"Well, I ain’t a-gonna grieve no more, no more
Ain’t a-gonna grieve no more, no more
Ain’t a-gonna grieve no more, no more
And ain’t a-gonna grieve no more

Come on brothers, join the band
Come on sisters, clap your hands
Tell everybody that’s in the land
You ain’t a-gonna grieve no more


Brown and blue and white and black
All one color on the one-way track
We got this far and ain’t a-goin’ back
And I ain’t a-gonna grieve no more


We’re gonna notify your next of kin
You’re gonna raise the roof until the house falls in
If you get knocked down get up again
We ain’t a-gonna grieve no more

We’ll sing this song all night long
Sing it to my baby from midnight on
She’ll sing it to you when I’m dead and gone
Ain’t a-gonna grieve no more"
Ain’t Talkin’,Ain't Talkin',Bob Dylan,"As I walked out tonight in the mystic garden
The wounded flowers were danglin' from the vine
I was passin' by yon cool and crystal fountain
Someone hit me from behind

Ain't talkin', just a'walkin'
Through this weary world of woe
Heart burnin', still yearnin'
No one on earth would ever know

They say prayer has the power to help
So pray from the mother
In the human heart an evil spirit can dwell
I'm a'tryin' to love my neighbor and do good unto others
But oh, mother, things ain't goin' well

Ain't talkin', just a'walkin'
I'll burn that bridge before you can cross
Heart burnin', still yearnin'
They'll be no mercy for ya' once you've lost

Now I'm all worn down by weepin'
My eyes are filled with tears, my lips are dry
If I catch my opponents ever sleepin'
I'll just slaughter them where they lie
Ain't talkin', just a'walkin'
Through the world mysterious and vague
Heart burnin', still yearnin'
Walkin' a'through the cities of the plague

Well, the whole world is filled with speculation
The whole wide world which people say is round
They will tear your mind away from contemplation
They will jump on your misfortune when you're down

Ain't talkin', just a'walkin'
Eatin' hog-eyed grease in a hog-eyed town
Heart burnin', still yearnin'
Someday you'll be glad to have me around

They will crush you with wealth and power
Every wakin' moment you could crack
I'll make the most of one last extra hour
I'll avenge my father's death an' I'll step back

Ain't talkin', just walkin'
Hand me down my walkin' cane
Heart burnin', still yearnin'
Got to get ya' out of my miserable brain
All o' my loyal and much-loved companions
They approve of me and share my code
I practice a faith that's been long abandoned
Ain't no altars on this long and lonesome road

Ain't talkin', just a'walkin'
My mule is sick, my horse is blind
Heart burnin', still yearnin'
Thinkin' ‘bout that gal I left behind

Well, it's bright in the heavens and the wheels are flyin'
Fame and honor never seem to fade
The fire gone out but the light is never dyin'
Who says I can't get heavenly aid?

Ain't talkin', just a'walkin'
Carryin' a dead man's shield
Heart burnin', still yearnin'
A'walkin' a'with a toothache in my heel

The sufferin' is unending
Every nook and cranny has its tears
I'm a'not playin', I'm not pretending
I'm not nursin' any superfluous fears
Ain't talkin', just a'walkin'
Walkin' ever since the other night
Heart burnin', still yearnin'
Walkin' ‘til I'ma clean outta sight

As I walked out in the mystic garden
On a hot summer day, a hot summer lawn
""Excuse me, ma'am, I beg your pardon
There's no one here, the gardener is gone""

Ain't talkin', a'just a'walkin'
Up the road around the bend
Heart burnin', still yearnin'
In the last outback, at the world's end"
Alberta #1,Alberta #1,Bob Dylan,"Alberta let your hair hang low
Alberta let your hair hang low
I'll give you more gold
Than your apron can hold
If you'd only let your hair hang low

Alberta what's on your mind
Alberta what's on your mind
You keep me worried and bothered
All of the time
Alberta what's on your mind

Alberta don't you treat me unkind
Alberta don't you treat me unkind
Oh my heart is so sad
Cause I want you so bad
Alberta don't you treat me unkind

Alberta let your hair hang low
Alberta let your hair hang low
I'll give you more gold
Than your apron can hold
If you'll only let your hair hang low"
Alberta #3,Alberta #3,Bob Dylan,"Alberta let your hair hang low
Alberta let your hair hang low
I'll give you more gold
Than?your?apron can hold
If?you'd only let your hair hang?low
Alberta what's on your mind
Alberta what's on your mind
You keep?me?worried?and bothered
All of?the time
Alberta what's?on your mind
Alberta don't you treat me unkind
Alberta don't you treat me unkind
Oh my heart is so sad
Cause I want you so bad
Alberta don't you treat me unkind
Alberta let your hair hang low
Alberta let your hair hang low
I'll give you more gold
Than your apron can hold
If you'll only let your hair hang low"
All Along the Watchtower,All Along the Watchtower,Bob Dylan,"""There must be some way out of here""
Said the joker to the thief
""There's too much confusion
I can't get no relief
Businessmen, they drink my wine
Plowmen dig my earth
None of them along the line
Know what any of it is worth""

""No reason to get excited""
The thief, he kindly spoke
""There are many here among us
Who feel that life is but a joke
But you and I, we've been through that
And this is not our fate
So let us not talk falsely now
The hour is getting late""

All along the watchtower
Princes kept the view
While all the women came and went
Barefoot servants too
Outside, in the distance
A wildcat did growl
Two riders were approaching
The wind began to howl"
All American Boy,All American Boy,Bob Dylan,"Well, I bought me a guitar, put it in tune
Went out there the month of June
'Twas a hot dog night and a stick in a roar
Everybody was a-down on this side
There was a holy cow (holy cow)
Mean cow (mean cow)
Double jaw (double jaw)
Cow (cow)
Well, I'll tell you a story about how to become
An all American boy, you can beat on a drum
Beat on a drum from five to six
You'll be rock 'n' rollin' soon gettin' your kicks
It's a good job (good job)
Join the band (gigging in the band)
Bring your hand (pick your hand)
Clean your hand and come up tight
Roll a smoke and down at night
Hold on a train, on a whiskey jar
Settle it down there you are
Hold it steady
Pick it up now
Now hit it (makin' the girls giggle)
Yes, you'll be makin' 'em little girlies giggle
You'll be makin' 'em all just jump up an' down an' wiggle
Empty their socks, in their britches
All you'll find that soon you'll be itches
Itches all over
Itch in your pants
Itch while you dance
Itchin' on down to the corn' of France
Well, I know a boy yesterday
He become a guitar and he floated away
He played his bars and he played 'em all
He's just on there havin' a ball
Kicking a hot storm up over the ocean
He took himself a notion
He got some lotion and
He put it on his guitar, put it on him
Next time you knew you can call him Jim
Down the road, boy, they call him Slim
They don't care if they're carry him
Just a minute now, you'll see what I mean
(Uncle Sam, in this land, rippin' up draft cards, an' all that)
Well, sooner or later a man's gonna come
He gonna take a look at you, look at your drum
He'd be a man and he'll take you home
Yeah, he'll take you out to his farm
He'll give you a good one
He'll give it to ya
(Well, you meet, girls don't giggle no more)
Well, sooner or later you're bound to meet his wife
And you'll come in 'n' have the time of your life
Just pickin' the gum, pickin' up a star
Pickin' up goin' and goin' to the bar
You and your manager (pickin' my nose)
Well, you'll want to know about the manager soon
He'll just take you outside and put you on the moon
He'll buy you new clothes, new pair of shoes
You'll be walk' away with the drummer blues
You'd be a fine drummer
Pick 'em as a comer
Dog hummer"
All I Really Want To Do [At Budokan],All I Really Want To Do [At Budokan],Bob Dylan,"I ain’t lookin’ to compete with you
Beat or cheat or mistreat you
Simplify you, classify you
Deny,?defy?or crucify you
All?I really want to do
Is, baby,?be friends with you
No, and I ain’t lookin’ to fight with you
Frighten you or tighten you
Drag you down or drain you down
Chain you down or bring you down
All I really want to do
Is, baby, be friends with you
I ain’t lookin’ to block you up
Shock or knock or lock you up
Analyze you, categorize you
Finalize you or advertise you
All I really want to do
Is, baby, be friends with you
I don’t want to straight-face you
Race or chase you, track or trace you
Or disgrace you or displace you
Or define you or confine you
All I really want to do
Is, baby, be friends with you
I don’t want to meet your kin
Make you spin or do you in
Or select you or dissect you
Or inspect you or reject you
All I really want to do
Is, baby, be friends with you
I don’t want to fake you out
Take or shake or forsake you out
I ain’t lookin’ for you to feel like me
See like me or be like me
All I really want to do
Is, baby, be friends with you"
All I Really Want to Do,All I Really Want to Do,Bob Dylan,"I ain't lookin' to compete with you
Beat or cheat or mistreat you
Simplify you, classify you
Deny, defy or crucify you
All I really want to do
Is, baby, be friends with you

No, and I ain't lookin' to fight with you
Frighten you or uptighten you
Drag you down or drain you down
Chain you down or bring you down
All I really want to do
Is, baby, be friends with you

I ain't lookin' to block you up
Shock or knock or lock you up
Analyze you, categorize you
Finalize you or advertise you
All I really want to do
Is, baby, be friends with you

I don’t wanta' straight-face you
Race or chase you, track or trace you
Or disgrace you or displace you
Or define you or confine you
All I really want to do
Is, baby, be friends with you
I don’t wanta' meet your kin
Make you spin or do you in
Or select you or dissect you
Or inspect you or reject you
All I really want to do
Is, baby, be friends with you

I don’t wanta' fake you out
Take or shake or forsake you out
I ain't lookin' for you to feel like me
See like me or be like me
All I really want to do
Is, baby, be friends with you"
